Respondent,Hobby,OpenSource,Country,Student,Employment,FormalEducation,UndergradMajor,CompanySize,DevType,YearsCoding,YearsCodingProf,JobSatisfaction,CareerSatisfaction,HopeFiveYears,JobSearchStatus,LastNewJob,AssessJob1,AssessJob2,AssessJob3,AssessJob4,AssessJob5,AssessJob6,AssessJob7,AssessJob8,AssessJob9,AssessJob10,AssessBenefits1,AssessBenefits2,AssessBenefits3,AssessBenefits4,AssessBenefits5,AssessBenefits6,AssessBenefits7,AssessBenefits8,AssessBenefits9,AssessBenefits10,AssessBenefits11,JobContactPriorities1,JobContactPriorities2,JobContactPriorities3,JobContactPriorities4,JobContactPriorities5,JobEmailPriorities1,JobEmailPriorities2,JobEmailPriorities3,JobEmailPriorities4,JobEmailPriorities5,JobEmailPriorities6,JobEmailPriorities7,UpdateCV,Currency,Salary,SalaryType,ConvertedSalary,CurrencySymbol,CommunicationTools,TimeFullyProductive,EducationTypes,SelfTaughtTypes,TimeAfterBootcamp,HackathonReasons,AgreeDisagree1,AgreeDisagree2,AgreeDisagree3,LanguageWorkedWith,LanguageDesireNextYear,DatabaseWorkedWith,DatabaseDesireNextYear,PlatformWorkedWith,PlatformDesireNextYear,FrameworkWorkedWith,FrameworkDesireNextYear,IDE,OperatingSystem,NumberMonitors,Methodology,VersionControl,CheckInCode,AdBlocker,AdBlockerDisable,AdBlockerReasons,AdsAgreeDisagree1,AdsAgreeDisagree2,AdsAgreeDisagree3,AdsActions,AdsPriorities1,AdsPriorities2,AdsPriorities3,AdsPriorities4,AdsPriorities5,AdsPriorities6,AdsPriorities7,AIDangerous,AIInteresting,AIResponsible,AIFuture,EthicsChoice,EthicsReport,EthicsResponsible,EthicalImplications,StackOverflowRecommend,StackOverflowVisit,StackOverflowHasAccount,StackOverflowParticipate,StackOverflowJobs,StackOverflowDevStory,StackOverflowJobsRecommend,StackOverflowConsiderMember,HypotheticalTools1,HypotheticalTools2,HypotheticalTools3,HypotheticalTools4,HypotheticalTools5,WakeTime,HoursComputer,HoursOutside,SkipMeals,ErgonomicDevices,Exercise,Gender,SexualOrientation,EducationParents,RaceEthnicity,Age,Dependents,MilitaryUS,SurveyTooLong,SurveyEasy
69195,Yes,No,Saudi Arabia,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering",100 to 499 employees,Back-end developer;Front-end developer;Full-stack developer,12-14 years,9-11 years,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
69423,Yes,Yes,Saudi Arabia,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering",20 to 99 employees,Back-end developer;Front-end developer;Full-stack developer,9-11 years,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,Multiple times per day,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
69762,Yes,No,Saudi Arabia,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","A humanities discipline (ex. literature, history, philosophy)","1,000 to 4,999 employees",Data or business analyst,0-2 years,0-2 years,Slightly dissatisfied,Moderately dissatisfied,Doing the same work,"I’m not actively looking, but I am open to new opportunities",Between 2 and 4 years ago,6,8,7,2,9,3,10,1,4,5,7,8,4,9,5,10,6,1,11,3,2,1,2,5,4,3,4,2,3,1,7,6,5,I had a negative experience or interaction at work,NA,8700,Monthly,27840,SAR,"Office / productivity suite (Microsoft Office, Google Suite, etc.);Slack",Three to six months,"Taken an online course in programming or software development (e.g. a MOOC);Completed an industry certification program (e.g. MCPD);Taught yourself a new language, framework, or tool without taking a formal course","Questions & answers on Stack Overflow;Online developer communities other than Stack Overflow (ex. forums, listservs, IRC channels, etc.)",NA,NA,Disagree,Strongly agree,Strongly agree,SQL,JavaScript;Python;R;SQL,NA,"MongoDB;SQL Server;Microsoft Azure (Tables, CosmosDB, SQL, etc);Elasticsearch",NA,AWS;Google Cloud Platform/App Engine;Predix;Salesforce,NA,Hadoop;Spark,IPython / Jupyter;Notepad++;Visual Studio Code,Windows,1,Agile;Lean;Scrum,Copying and pasting files to network shares;Zip file back-ups,Never,Yes,I'm not sure/I can't remember,NA,Somewhat agree,Somewhat agree,Somewhat agree,Stopped going to a website because of their advertising,2,4,5,3,6,1,7,NA,"Evolving definitions of ""fairness"" in algorithmic versus human decisions",Nobody,I'm excited about the possibilities more than worried about the dangers.,Depends on what it is,Depends on what it is,NA,Unsure / I don't know,7,Daily or almost daily,Yes,Less than once per month or monthly,Yes,"No, and I don't know what that is",7,I'm not sure,Very interested,Extremely interested,Somewhat interested,NA,Very interested,Between 5:00 - 6:00 AM,9 - 12 hours,Over 4 hours,Daily or almost every day,Wrist/hand supports or braces,1 - 2 times per week,Female,Straight or heterosexual,"Bachelor’s degree (BA, BS, B.Eng., etc.)",Middle Eastern,25 - 34 years old,No,NA,The survey was an appropriate length,Neither easy nor difficult
70322,No,Yes,Saudi Arabia,No,Employed full-time,NA,NA,"1,000 to 4,999 employees",Data or business analyst,3-5 years,3-5 years,Moderately dissatisfied,Moderately dissatisfied,Working in a career completely unrelated to software development,"I’m not actively looking, but I am open to new opportunities",More than 4 years ago,1,5,9,10,6,4,8,2,7,3,5,11,3,8,4,7,10,2,9,6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,I saw an employer’s advertisement,NA,NA,Monthly,NA,SAR,NA,NA,NA,NA,NA,NA,NA,NA,NA,VBA,NA,SQL Server,NA,Windows Desktop or Server,NA,NA,NA,Visual Studio,Windows,NA,NA,Zip file back-ups,A few times per week,I'm not sure/I don't know,NA,NA,Strongly agree,Strongly agree,Strongly disagree,Paid to access a website advertisement-free,2,4,3,1,7,5,6,Increasing automation of jobs,"Artificial intelligence surpassing human intelligence (""the singularity"")",A governmental or other regulatory body,I'm excited about the possibilities more than worried about the dangers.,No,Depends on what it is,The person who came up with the idea,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
71195,Yes,No,Saudi Arabia,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering",10 to 19 employees,Back-end developer;Full-stack developer;Mobile developer,6-8 years,6-8 years,Extremely dissatisfied,Slightly dissatisfied,Working in a different or more specialized technical role than the one I'm in now,I am actively looking for a job,Between 2 and 4 years ago,4,3,9,5,2,1,10,8,6,7,1,4,2,5,6,7,8,11,10,3,9,NA,NA,NA,NA,NA,7,5,3,1,6,2,4,I had a negative experience or interaction at work,NA,14000,Monthly,44796,SAR,"Google Hangouts/Chat;Office / productivity suite (Microsoft Office, Google Suite, etc.)",Less than a month,"Taken an online course in programming or software development (e.g. a MOOC);Completed an industry certification program (e.g. MCPD);Taught yourself a new language, framework, or tool without taking a formal course","The official documentation and/or standards for the technology;A book or e-book from O’Reilly, Apress, or a similar publisher;A college/university computer science or software engineering book;Online developer communities other than Stack Overflow (ex. forums, listservs, IRC channels, etc.)",NA,NA,Agree,Disagree,Agree,C#;Java;JavaScript;SQL;HTML;CSS,C#;Java;JavaScript;Python;R;SQL;HTML;CSS,SQL Server,"SQL Server;Microsoft Azure (Tables, CosmosDB, SQL, etc)",Android;SharePoint;Windows Desktop or Server,Android;Windows Desktop or Server,Xamarin,Angular;.NET Core;Node.js;Xamarin,Android Studio;Notepad++;Visual Studio;Visual Studio Code,Windows,1,Agile;Scrum,Git;Team Foundation Version Control,Multiple times per day,Yes,Yes,The website I was visiting forced me to disable it to access their content;The ad-blocking software was causing display issues on a website;The website I was visiting asked me to disable it;I wanted to support the website I was visiting by viewing their ads,Somewhat agree,Strongly agree,Neither agree nor disagree,Clicked on an online advertisement;Saw an online advertisement and then researched it (without clicking on the ad);Stopped going to a website because of their advertising,1,4,2,3,7,5,6,"Evolving definitions of ""fairness"" in algorithmic versus human decisions",Algorithms making important decisions,A governmental or other regulatory body,I'm excited about the possibilities more than worried about the dangers.,No,Depends on what it is,Upper management at the company/organization,Yes,10 (Very Likely),Multiple times per day,Yes,A few times per month or weekly,Yes,"No, I have one but it's out of date",4,Yes,Somewhat interested,A little bit interested,Somewhat interested,Not at all interested,A little bit interested,Between 7:01 - 8:00 AM,9 - 12 hours,1 - 2 hours,1 - 2 times per week,Standing desk,I don't typically exercise,Male,Straight or heterosexual,"Bachelor’s degree (BA, BS, B.Eng., etc.)",Middle Eastern,25 - 34 years old,No,NA,The survey was too long,Somewhat easy
71209,Yes,No,Saudi Arabia,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering","1,000 to 4,999 employees",Back-end developer;Desktop or enterprise applications developer,15-17 years,3-5 years,Moderately satisfied,Extremely satisfied,Working as a founder or co-founder of my own company,"I’m not actively looking, but I am open to new opportunities",Between 1 and 2 years ago,7,4,10,3,5,9,6,1,8,2,1,2,3,5,11,9,6,10,7,4,8,2,1,5,4,3,1,2,7,3,6,5,4,I saw an employer’s advertisement,NA,5000,Monthly,15996,SAR,"Office / productivity suite (Microsoft Office, Google Suite, etc.)",One to three months,Taken an online course in programming or software development (e.g. a MOOC);Received on-the-job training in software development,NA,NA,NA,Agree,Agree,Disagree,C#;Groovy;Java;JavaScript;PHP;Python;SQL;VB.NET;HTML;CSS,C#;Java;Python,SQL Server;MySQL,MongoDB;Amazon Redshift;Google BigQuery;Google Cloud Storage,Android;Windows Desktop or Server,Android;Arduino;AWS;Google Cloud Platform/App Engine;Linux;Raspberry Pi;Serverless;Firebase,.NET Core;TensorFlow,Django;Node.js;React;Xamarin;TensorFlow,IPython / Jupyter;Notepad++;Visual Studio;Visual Studio Code,Windows,1,NA,Copying and pasting files to network shares;I don't use version control,NA,I'm not sure/I don't know,NA,NA,Somewhat agree,Somewhat agree,Somewhat disagree,Clicked on an online advertisement;Saw an online advertisement and then researched it (without clicking on the ad),NA,NA,NA,NA,NA,NA,NA,"Artificial intelligence surpassing human intelligence (""the singularity"")",Increasing automation of jobs,The developers or the people creating the AI,I'm excited about the possibilities more than worried about the dangers.,No,"Yes, and publicly",The person who came up with the idea,Yes,10 (Very Likely),Daily or almost daily,Yes,A few times per month or weekly,Yes,"No, I know what it is but I don't have one",8,Yes,Somewhat interested,Somewhat interested,A little bit interested,Somewhat interested,A little bit interested,Between 5:00 - 6:00 AM,9 - 12 hours,30 - 59 minutes,1 - 2 times per week,NA,I don't typically exercise,Male,Straight or heterosexual,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",South Asian,35 - 44 years old,No,NA,The survey was an appropriate length,Very easy
71248,Yes,Yes,Saudi Arabia,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Another engineering discipline (ex. civil, electrical, mechanical)","10,000 or more employees",Engineering manager;Mobile developer,24-26 years,3-5 years,Moderately dissatisfied,Moderately dissatisfied,Working as a founder or co-founder of my own company,"I’m not actively looking, but I am open to new opportunities",Less than a year ago,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,My job status or other personal status changed,NA,NA,Monthly,NA,SAR,Facebook;Google Hangouts/Chat,Less than a month,NA,NA,NA,NA,Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,C#;Java;JavaScript;PHP;SQL;TypeScript;HTML;CSS,F#;JavaScript;Python;R;Swift;TypeScript;Kotlin;HTML;CSS,SQL Server,SQLite,Android;Windows Desktop or Server;Firebase,Android;Google Home;iOS;Firebase,.NET Core;Node.js,.NET Core,Android Studio;Visual Studio;Visual Studio Code;Xcode,Windows,1,Agile;Kanban;Lean,Git,Multiple times per day,Yes,No,NA,Somewhat agree,Strongly disagree,Strongly agree,Stopped going to a website because of their advertising,NA,NA,NA,NA,NA,NA,NA,Increasing automation of jobs,"Artificial intelligence surpassing human intelligence (""the singularity"")",The developers or the people creating the AI,I'm excited about the possibilities more than worried about the dangers.,No,"Yes, and publicly",Upper management at the company/organization,Unsure / I don't know,10 (Very Likely),Less than once per month or monthly,Yes,Less than once per month or monthly,Yes,"No, I have one but it's out of date",10 (Very Likely),Yes,Not at all interested,Not at all interested,Very interested,Very interested,Very interested,Between 5:00 - 6:00 AM,9 - 12 hours,Less than 30 minutes,Daily or almost every day,NA,I don't typically exercise,Male,NA,"Bachelor’s degree (BA, BS, B.Eng., etc.)",Middle Eastern,35 - 44 years old,Yes,NA,The survey was too long,Somewhat difficult
75474,Yes,No,Saudi Arabia,No,Employed full-time,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",NA,100 to 499 employees,Desktop or enterprise applications developer,0-2 years,0-2 years,Moderately satisfied,Slightly dissatisfied,Working as a founder or co-founder of my own company,"I’m not actively looking, but I am open to new opportunities",Between 2 and 4 years ago,7,5,9,2,10,8,1,3,6,4,6,8,3,11,10,5,9,4,7,1,2,2,1,5,4,3,3,4,2,1,6,7,5,I saw an employer’s advertisement,U.S. dollars ($),580,Monthly,6960,USD,NA,NA,"Taken an online course in programming or software development (e.g. a MOOC);Taught yourself a new language, framework, or tool without taking a formal course","A book or e-book from O’Reilly, Apress, or a similar publisher;Questions & answers on Stack Overflow;Online developer communities other than Stack Overflow (ex. forums, listservs, IRC channels, etc.);Internal Wikis, chat rooms, or documentation set up by my company for employees",NA,NA,Agree,Disagree,Disagree,Java,C;C++;Java;SQL,NA,MySQL,Windows Desktop or Server,Linux;Windows Desktop or Server,NA,Spring,NetBeans;Notepad++;Visual Studio Code,Windows,1,NA,I don't use version control,NA,Yes,No,NA,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,NA,5,2,1,4,3,7,6,NA,Increasing automation of jobs,The developers or the people creating the AI,I'm excited about the possibilities more than worried about the dangers.,Depends on what it is,Depends on what it is,The developer who wrote it,Yes,10 (Very Likely),Multiple times per day,Yes,A few times per month or weekly,"No, I knew that Stack Overflow had a jobs board but have never used or visited it","No, and I don't know what that is",NA,Yes,Extremely interested,Extremely interested,Very interested,Somewhat interested,A little bit interested,Between 6:01 - 7:00 AM,9 - 12 hours,3 - 4 hours,Never,NA,I don't typically exercise,Male,Straight or heterosexual,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",NA,35 - 44 years old,Yes,NA,The survey was too long,Somewhat easy
76746,Yes,Yes,Saudi Arabia,No,Employed part-time,NA,NA,"1,000 to 4,999 employees",Back-end developer;Full-stack developer,3-5 years,3-5 years,Slightly dissatisfied,Extremely dissatisfied,Doing the same work,I am actively looking for a job,Between 1 and 2 years ago,10,9,7,1,3,2,6,4,8,5,1,11,10,7,2,4,5,3,8,9,6,1,2,5,3,4,6,2,5,1,4,7,3,I received bad news about the future of my company or department,Indian rupees (₹),210000,Monthly,39444,INR,"Office / productivity suite (Microsoft Office, Google Suite, etc.)",One to three months,"Taught yourself a new language, framework, or tool without taking a formal course;Participated in online coding competitions (e.g. HackerRank, CodeChef, TopCoder);Contributed to open source software","The official documentation and/or standards for the technology;A book or e-book from O’Reilly, Apress, or a similar publisher;Questions & answers on Stack Overflow",NA,"To improve my general technical skills or programming ability;To improve my knowledge of a specific programming language, framework, or other technology;To improve my ability to work on a team with other programmers;To help me find new job opportunities",Strongly agree,Agree,Disagree,Java;JavaScript;PHP;HTML;CSS,Java,MySQL,Cassandra;MongoDB;Redis;PostgreSQL;Apache HBase;Apache Hive;Memcached;Elasticsearch,Android;iOS;Windows Desktop or Server,NA,Spring,Angular;Node.js;React,Atom;Eclipse;Notepad++,Windows,1,Agile,Git;Subversion,Multiple times per day,I'm not sure/I don't know,NA,NA,Strongly agree,Strongly agree,Somewhat disagree,Stopped going to a website because of their advertising,NA,NA,NA,NA,NA,NA,NA,NA,NA,A governmental or other regulatory body,I'm worried about the dangers more than I'm excited about the possibilities.,No,Depends on what it is,The person who came up with the idea,Yes,10 (Very Likely),Multiple times per day,Yes,Multiple times per day,Yes,Yes,4,Yes,Somewhat interested,Somewhat interested,Somewhat interested,Very interested,Very interested,Between 7:01 - 8:00 AM,5 - 8 hours,1 - 2 hours,Never,Ergonomic keyboard or mouse,Daily or almost every day,Male,Straight or heterosexual,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",South Asian,25 - 34 years old,No,NA,The survey was too long,Very easy
76793,Yes,No,Saudi Arabia,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Information systems, information technology, or system administration",10 to 19 employees,Back-end developer;Desktop or enterprise applications developer;Full-stack developer,9-11 years,6-8 years,Slightly dissatisfied,Slightly dissatisfied,Working as a founder or co-founder of my own company,I am actively looking for a job,Less than a year ago,8,1,4,2,3,10,9,5,6,7,1,11,2,5,6,7,10,9,4,3,8,1,2,5,4,3,4,2,7,1,3,6,5,I had a negative experience or interaction at work,NA,15000,Monthly,48000,SAR,NA,One to three months,"Completed an industry certification program (e.g. MCPD);Taught yourself a new language, framework, or tool without taking a formal course","A book or e-book from O’Reilly, Apress, or a similar publisher;Questions & answers on Stack Overflow",NA,NA,Neither Agree nor Disagree,Agree,Disagree,C#;JavaScript;SQL;VB.NET;HTML;CSS,C#;JavaScript;SQL;HTML;CSS,"MongoDB;SQL Server;Microsoft Azure (Tables, CosmosDB, SQL, etc)","SQL Server;Microsoft Azure (Tables, CosmosDB, SQL, etc)",Azure;Windows Desktop or Server,Azure;Windows Desktop or Server,Angular;.NET Core;Node.js;React;Xamarin,.NET Core;React;Xamarin,Notepad++;Visual Studio;Visual Studio Code,Windows,2,Agile;Kanban,Team Foundation Version Control,Multiple times per day,Yes,Yes,The website I was visiting asked me to disable it;I wanted to support the website I was visiting by viewing their ads,Somewhat agree,Neither agree nor disagree,Somewhat agree,Stopped going to a website because of their advertising,1,5,3,2,4,7,6,Increasing automation of jobs,"Evolving definitions of ""fairness"" in algorithmic versus human decisions",The developers or the people creating the AI,I'm excited about the possibilities more than worried about the dangers.,No,"Yes, but only within the company",Upper management at the company/organization,Yes,9,Daily or almost daily,Yes,A few times per month or weekly,Yes,"No, and I don't know what that is",10 (Very Likely),I'm not sure,A little bit interested,A little bit interested,A little bit interested,Very interested,A little bit interested,Between 7:01 - 8:00 AM,9 - 12 hours,1 - 2 hours,1 - 2 times per week,NA,I don't typically exercise,Male,NA,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",NA,25 - 34 years old,Yes,NA,The survey was too long,Somewhat easy
79486,Yes,Yes,Saudi Arabia,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering","1,000 to 4,999 employees",Back-end developer;Database administrator;Designer;Desktop or enterprise applications developer;Front-end developer;Full-stack developer;Mobile developer;QA or test developer;System administrator,21-23 years,15-17 years,NA,Moderately satisfied,NA,"I’m not actively looking, but I am open to new opportunities",More than 4 years ago,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10 (Very Likely),Daily or almost daily,Yes,Daily or almost daily,"No, I didn't know that Stack Overflow had a jobs board","No, and I don't know what that is",NA,I'm not sure,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
80103,Yes,No,Saudi Arabia,"Yes, full-time",Employed full-time,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","Computer science, computer engineering, or software engineering","10,000 or more employees",Data or business analyst;Data scientist or machine learning specialist;Designer;Desktop or enterprise applications developer;DevOps specialist;Engineering manager;Full-stack developer;Mobile developer;Product manager;Student,15-17 years,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10 (Very Likely),Daily or almost daily,Yes,Less than once per month or monthly,Yes,"No, I have one but it's out of date",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
80864,Yes,No,Saudi Arabia,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering",10 to 19 employees,Back-end developer;Data or business analyst;Database administrator;Full-stack developer;Mobile developer,9-11 years,3-5 years,Extremely satisfied,Moderately satisfied,Working in a different or more specialized technical role than the one I'm in now,"I’m not actively looking, but I am open to new opportunities",Between 2 and 4 years ago,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,C#;Java;JavaScript;PHP;Python;SQL;Swift;Kotlin;HTML;CSS,C#;Java;JavaScript;Python;SQL;Swift;TypeScript;Kotlin;HTML;CSS;Bash/Shell,SQL Server;MySQL;SQLite,MongoDB,Android;Azure;iOS;Linux;Mac OS;Windows Desktop or Server;WordPress;Firebase,Amazon Echo;Android;AWS;Azure;iOS;Linux;Mac OS;Windows Desktop or Server;Firebase,Angular;.NET Core;Node.js;Cordova,Angular;.NET Core;Node.js;Xamarin,Android Studio;Sublime Text;Visual Studio;Visual Studio Code;Xcode,Windows,3,Agile;Lean,Git;Team Foundation Version Control,Multiple times per day,Yes,Yes,The ad-blocking software was causing display issues on a website,Strongly agree,Somewhat agree,Strongly disagree,Clicked on an online advertisement;Saw an online advertisement and then researched it (without clicking on the ad);Stopped going to a website because of their advertising,1,4,3,5,6,2,7,"Evolving definitions of ""fairness"" in algorithmic versus human decisions",Algorithms making important decisions,The developers or the people creating the AI,I'm excited about the possibilities more than worried about the dangers.,No,"Yes, but only within the company",Upper management at the company/organization,Yes,10 (Very Likely),Multiple times per day,Yes,Less than once per month or monthly,Yes,"No, and I don't know what that is",5,Yes,A little bit interested,Extremely interested,Not at all interested,Very interested,Extremely interested,Between 5:00 - 6:00 AM,Over 12 hours,30 - 59 minutes,1 - 2 times per week,Ergonomic keyboard or mouse;Wrist/hand supports or braces,Daily or almost every day,NA,NA,NA,NA,NA,NA,NA,NA,NA
82309,Yes,No,Saudi Arabia,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering",500 to 999 employees,Back-end developer;Full-stack developer,6-8 years,0-2 years,Slightly dissatisfied,Slightly dissatisfied,Working as a founder or co-founder of my own company,I am not interested in new job opportunities,Between 1 and 2 years ago,10,9,2,5,7,3,6,4,8,1,3,11,5,10,2,4,7,8,9,6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,A recruiter contacted me,NA,NA,Monthly,NA,SAR,"Slack;Trello;Other wiki tool (Github, Google Sites, proprietary software, etc.)",Six to nine months,"Taken an online course in programming or software development (e.g. a MOOC);Taken a part-time in-person course in programming or software development;Completed an industry certification program (e.g. MCPD);Received on-the-job training in software development;Taught yourself a new language, framework, or tool without taking a formal course;Participated in online coding competitions (e.g. HackerRank, CodeChef, TopCoder);Participated in a hackathon","The official documentation and/or standards for the technology;A book or e-book from O’Reilly, Apress, or a similar publisher;Questions & answers on Stack Overflow",NA,"To improve my general technical skills or programming ability;To improve my knowledge of a specific programming language, framework, or other technology;To improve my ability to work on a team with other programmers;Because I find it enjoyable",Strongly agree,Neither Agree nor Disagree,Disagree,Assembly;C;C++;C#;CoffeeScript;Go;Java;JavaScript;PHP;Python;SQL;TypeScript;HTML;CSS;Bash/Shell,Scala,MongoDB;SQL Server;MySQL;Oracle,Redis,Android;Arduino;Azure;Linux;Raspberry Pi;Windows Desktop or Server,IBM Cloud or Watson;Serverless,Angular;.NET Core;Node.js;React;TensorFlow,Spark;TensorFlow,Atom;IPython / Jupyter;Notepad++;PyCharm;Visual Studio,Linux-based,2,NA,Git,Multiple times per day,No,NA,NA,Strongly agree,Somewhat disagree,Neither agree nor disagree,Saw an online advertisement and then researched it (without clicking on the ad),1,4,5,3,6,7,2,Increasing automation of jobs,Increasing automation of jobs,Prominent industry leaders,I'm excited about the possibilities more than worried about the dangers.,Depends on what it is,Depends on what it is,Upper management at the company/organization,Yes,10 (Very Likely),Daily or almost daily,Yes,I have never participated in Q&A on Stack Overflow,Yes,"No, I know what it is but I don't have one",1,No,A little bit interested,Not at all interested,Not at all interested,Not at all interested,A little bit interested,Between 8:01 - 9:00 AM,5 - 8 hours,30 - 59 minutes,Never,Standing desk,1 - 2 times per week,Male,Straight or heterosexual,"Bachelor’s degree (BA, BS, B.Eng., etc.)",Middle Eastern,18 - 24 years old,No,NA,The survey was an appropriate length,Somewhat easy
